Ressource,Code Attributaire,Attributaire,Date d'effet,N° décision d'attribution
F0,FRTE,Orange,01/01/2017,2016-1702
F1,SFR0,Société française du radiotéléphone,26/03/2015,2015-0347
F2,COMP,Completel,26/03/2015,2015-0347
F3,FREE,Free,26/03/2015,2015-0347
F4,BOUY,Bouygues Telecom,26/03/2015,2015-0347
F5,COLT,Colt technology services,01/01/2018,2017-1522
F6,OVH,OVH,26/03/2015,2015-0347
F7,MCI,Verizon France,01/01/2018,2017-1484
F8,UPCF,SFR fibre SAS,26/03/2015,2015-0347
F9,LEGO,Société Legos-Local exchange-Global opération services,26/03/2015,2015-0347
FA,440H,440HZ,26/03/2015,2015-0347
FB,AFEC,Afritelec,03/05/2018,2018-0523
FC,ADIS,Adenis,26/03/2015,2015-0347
FD,ADON,Add-on consulting,26/03/2015,2015-0347
FE,TEIR,Telnyx Ireland limited,19/01/2021,2023-0137
FF,AICT,AIC Telecoms,26/03/2015,2015-0347
FG,WARE,Waycom retail,11/05/2016,2016-0647
FH,VXDS,Voxidis,08/12/2016,2016-1633
FI,ALNI,Alnilam,26/03/2015,2015-0347
FJ,ALPL,Alphalink,26/03/2015,2015-0347
FK,AMNE,Régie municipale d'électricité et de télédistribution d'Amnéville,26/03/2015,2015-0347
FL,WRDL,Worldline France,01/07/2021,2021-1193
FM,CPOM,Capacom,21/04/2015,2015-0455
FN,EMOD,Auranext,28/07/2016,2016-0968
FO,AVIR,Novelcom,26/03/2015,2015-0347
FP,AVMI,AVM Informatique,12/05/2016,2016-0677
FQ,AXLY,Axialys,26/03/2015,2015-0347
FR,BJTP,BJT Partners,26/03/2015,2015-0347
FS,BRET,Bretagne Telecom,26/03/2015,2015-0347
FT,BTSI,BT France,26/03/2015,2015-0347
FU,BUDG,MINT,26/03/2015,2015-0347
FV,BUFR,Tellpe,26/03/2015,2015-0347
FW,BUYC,Digicel Antilles Françaises Guyane,26/03/2015,2015-0347
FX,CELY,Celya,26/03/2015,2015-0347
FY,GRPH,Phibee telecom,20/06/2019,2021-1227
FZ,CMTT,ComMeeTT,29/08/2022,2022-1611
G0,CLIM,Compatel Limited,26/03/2015,2015-0347
G1,CMRP,CMRP,26/03/2015,2015-0347
G2,COMC,Comcable,26/03/2015,2015-0347
G3,DVSC,DVS Connect,20/09/2022,2022-1859
G4,DAUF,Dauphin telecom,26/03/2015,2015-0347
G5,DIAB,Diabolocom SAS,26/03/2015,2015-0347
G6,R3LO,Apidaze,22/09/2016,2016-1220
G7,DGLP,PS Mobile Access,01/10/2020,2022-1923
G8,EVMI,Even media interactive,01/09/2022,2022-1739
GA,ETOI,Etoile Dièse,26/03/2015,2015-0347
GB,EYES,Eyes telecom,26/03/2015,2015-0347
GC,DYCL,Dynamik cloud & télécom,27/10/2022,2022-2130
GD,FING,Adista Fingerprint,26/03/2015,2015-0347
GE,ANEL,Annatel telecom,28/12/2018,2020-1407
GF,TYLI,Ty-line,24/12/2015,2015-1626
GG,GLOA,Globaltel,26/03/2015,2015-0347
GH,GSCO,GS Communication,26/03/2015,2015-0347
GI,PARE,Parabole Réunion,19/11/2015,2015-1409
GJ,GUYA,Guyacom,26/03/2015,2015-0347
GK,MIXW,Color telecom,29/05/2018,2018-0617
GL,HALY,Halys,26/03/2015,2015-0347
GM,HUBT,Hub One,26/03/2015,2015-0347
GN,CDPI,Codepi,16/05/2022,2022-1066
GO,IDOM,Idom technologies,26/03/2015,2015-0347
GP,INUP,Interactiv-group,28/07/2016,2016-0937
GQ,OXTE,Oxone technologies,13/04/2017,2017-0452
GR,INCL,Nomotech,26/03/2015,2015-0347
GS,INIT,Foliateam operateur,26/03/2015,2015-0347
GT,IOVO,Iovox Ltd,26/03/2015,2015-0347
GU,IPAR,Azalée,26/03/2015,2015-0347
GV,IPDI,IP Directions,26/03/2015,2015-0347
GW,IPXT,Ipxtel,26/03/2015,2015-0347
GX,SVCM,Unyc,12/05/2015,2015-0568
GY,GHVO,Ghvoip,24/07/2019,2021-1364
GZ,JAG,Free Pro,26/03/2015,2015-0347
H0,INGR,Integraphone,18/08/2016,2016-1078
H1,KWAO,K-net,26/03/2015,2015-0347
H2,LANE,Lanestel,26/03/2015,2015-0347
H3,LEON,Always on,26/03/2015,2015-0347
H5,LINK,Linkeo.com,26/03/2015,2015-0347
H6,LLEI,Lleida networks serveis telematics S.L,26/03/2015,2015-0347
H7,YOOT,Yooth information technology,06/07/2017,2017-0849
H8,NTLS,Netalis ,02/03/2017,2017-0265
H9,REPT,Réseau concept,28/10/2019,2021-2231
HA,HEXA,Hexanet,19/04/2018,2018-0456
HB,MDIA,Holding 123 media corp,26/03/2015,2015-0347
HC,AIEX,Altitude infrastructure exploitation,23/06/2015,2015-0732
HD,MIAS,Canal+ Telecom,26/03/2015,2015-0347
HE,NXFR,Nxo France,06/07/2018,2018-0802
HF,MWSP,Lasotel,26/03/2015,2015-0347
HG,CORI,Coriolis telecom SAS,03/09/2018,2018-0862
HI,IPEV,Ipeva,15/07/2022,2022-1483
HJ,NORN,Nordnet,26/03/2015,2015-0347
HK,NOTL,Neotel,26/03/2015,2015-0347
HM,GETG,Get & go telecom,18/05/2017,2017-0601
HN,NWTI,Newtech interactive,26/03/2015,2015-0347
HO,NXTO,Fiducial cloud,26/03/2015,2015-0347
HP,PRSO,Prosoluce,20/06/2019,2021-0919
HQ,VGSF,Viatel global services France,11/01/2016,2016-0004
HR,OPEN,Destiny France Partenaires,26/03/2015,2015-0347
HS,OPST,OPS Telecom,26/03/2015,2015-0347
HT,YLLA,xFibre,16/12/2021,2021-2708
HU,OPWA,Opwan,26/03/2015,2015-0347
HV,TIMA,Timaca,26/10/2018,2022-1823
HW,COCR,Comunik CRM,14/06/2021,2021-1175
HX,OUTR,Outremer Telecom,26/03/2015,2015-0347
HY,PAOP,Paritel operateur,26/03/2015,2015-0347
HZ,PHON,Keyyo,26/03/2015,2015-0347
I0,HERA,Netiwan,18/01/2018,2018-0019
I1,STER,Setera communications OY,05/09/2022,2022-1777
I2,CDXT,CDX Telecom,25/01/2022,2022-0140
I3,BEET,Bee Technology,14/04/2015,2015-0426
I4,ODIG,Odigo,01/02/2019,2021-0070
I5,R188,Wayscom,26/03/2015,2015-0347
I6,REMM,Remmedia,26/03/2015,2015-0347
I7,RMII,Adista,26/03/2015,2015-0347
I8,SENT,Senso telecom,26/03/2015,2015-0347
I9,SEWA,Sewan,26/03/2015,2015-0347
IA,SPMT,SAS SPM Telecom,26/03/2015,2015-0347
IB,SRR,Société réunionnaise du radiotéléphone,26/03/2015,2015-0347
IC,CYDS,Cyd-solutions,22/03/2022,2022-0618
ID,STMA,Saint Martin cable,26/03/2015,2015-0347
IE,SYSE,Sysexpert,26/03/2015,2015-0347
IF,TLST,Ubefone,16/11/2017,2017-1340
IG,AIRC,Aircall,19/04/2022,2022-0822
IH,THEC,TCLR,26/03/2015,2015-0347
II,TOBJ,Telecom.object,26/03/2015,2015-0347
IJ,TRAT,Transatel,26/03/2015,2015-0347
IK,INFS,Weaccess group,03/03/2022,2022-0471
IL,VIAD,Viadialog,26/03/2015,2015-0347
IM,VOXB,Voxbone,26/03/2015,2015-0347
IN,WAEL,Wanatel,26/03/2015,2015-0347
IO,WENG,Mybestpro,26/03/2015,2015-0347
IP,NORS,Norest services SAS,18/07/2019,2021-1177
IQ,SYST,System-net,24/11/2016,2016-1542
IR,RCFR,Ringcentral France,20/04/2022,2022-0830
IS,ZEOP,Zeop,26/03/2015,2015-0347
IT,NOEL,Noelse France,02/03/2022,2022-0465
IU,APPS,Foliateam-apps2com,26/03/2015,2015-0347
IV,LPUP,Loopup Spain,27/04/2022,2022-0835
IW,ERGA,Everko,26/03/2015,2015-0347
IX,ESEY,Eseye limited,26/03/2015,2015-0347
IY,FRMT,Serinya telecom,26/03/2015,2015-0347
IZ,INNE,Infoline,26/03/2015,2015-0347
J0,LUXN,Luxnetwork,26/03/2015,2015-0347
J1,TLON,Tel-on,26/03/2015,2015-0347
J2,BFIN,B & B finance,30/06/2016,2016-0864
J3,NETE,Netensia,09/09/2015,2015-1066
J4,IMSD,IMS dynamics,06/10/2015,2015-1176
J5,PLUG,Plug and tel,26/04/2022,2022-0848
J6,SPRO,Sogeprom,22/10/2015,2015-1286
J7,RHOV,Koesio networks,22/10/2015,2015-1284
J8,APWA,Appliwave,04/02/2016,2016-0113
J9,ADSL,Celeste,25/02/2016,2016-0253
JA,APPE,Appel telecom,25/02/2016,2016-0268
JB,DIMT,Dimension Telecom,26/02/2016,2016-0271
JC,OECO,Oecom,24/03/2016,2016-0412
JD,BICS,BICS,07/07/2016,2016-0878
JE,LISI,Linksip,14/07/2016,2016-0927
JF,SOCT,Société commerciale de télécommunication - SCT,04/08/2016,2016-1008
JH,CIRQ,Foliateam cloud,29/09/2016,2016-1245
JI,DFRA,Digifrance,29/09/2016,2016-1246
JJ,TELN,Tel@ndcloud,13/10/2016,2016-1307
JK,TOTA,Totalcloud,01/12/2016,2016-1584
JL,BIBR,Bits brothers,26/06/2018,2018-0758
JM,SYNE,Synelyans,22/12/2016,2016-1741
JN,W3TE,W3tel,23/03/2017,2017-0375
JO,TERY,Telerys communication,06/04/2017,2017-0409
JP,DIDW,DIDWW Ireland Limited,13/04/2017,2017-0469
JQ,PJT3,Linkt,27/04/2017,2017-0516
JR,NETW,Networth telecom,18/05/2017,2017-0600
JS,HTCG,Ipefix,18/05/2017,2017-0608
JT,VAST,Vast new telecom,22/06/2017,2017-0753
JU,KIOS,Le kiosqueur,29/06/2017,2017-0785
JV,VASO,VA Solutions,29/06/2017,2017-0782
JW,P1SE,P1 security,29/06/2017,2017-0783
JX,THDT,Thdtel,13/07/2017,2017-0868
JY,CPOD,Altitude infrastructure,13/07/2017,2017-0876
JZ,NAIT,Naitways,13/07/2017,2017-0882
K0,VASO,VA Solutions,05/10/2017,2017-1161
K1,SASY,Sab system,12/10/2017,2017-1179
K2,LGC,Manifone,12/10/2017,2017-1188
K3,SOIS,Solutions Informatiques Services,26/10/2017,2017-1266
K4,ABPL,AB plus,02/11/2017,2017-1280
K5,VELD,Veldissimo telecom,23/11/2017,2017-1372
K6,NEOI,Net OI,30/11/2017,2017-1415
K7,MAQU,Telemaque,28/12/2017,2017-1563
K8,UBIC,Ubicentrex,28/12/2017,2017-1565
K9,GNTL,Netcom Group,28/12/2017,2017-1578
KA,ITPH,Infinity telecom,25/01/2018,2018-0063
KB,WESY,Wesy,11/07/2018,2018-0834
KC,INOX,Infinivox,10/09/2021,2021-1913
KD,APSO,Stephie télécom,20/09/2021,2021-2005
KE,BBSI,BBS,28/09/2021,2021-2052
KF,INPC,Idline,23/04/2021,2023-0750
KG,ONCL,ONVOY Communications Limited,29/04/2022,2022-0894
KH,NFFR,Nfon France,09/07/2019,2021-1150
KI,PHGS,Phone.GS,01/08/2019,2021-1571
KJ,AKIN,Akinea internet,08/08/2019,2021-1352
KK,TRIN,Trinaps,15/06/2022,2022-1219
KL,GCCO,Groupe convergence.com,30/04/2020,2022-0668
KM,IPSE,SARL IPSET,22/06/2022,2022-1248
KN,TWIL,Twilio Ireland Limited,10/11/2021,2021-2376
KO,ARTF,Artefact,31/10/2019,2021-2331
KP,NIMU,Voxnode,22/06/2022,2022-1253
KQ,EURS,Euristel,06/11/2019,2021-2398
KR,NNTE,MCT,07/07/2022,2022-1404
KS,3620,Idelio,24/01/2020,2022-0094
KT,ABCL,Abaclouda,12/12/2022,2022-2510
KU,TESO,Telesoft,02/06/2020,2022-1036
KV,IZAL,Izarlink,08/07/2022,2022-1406
KW,OXIL,Oxilog,17/06/2020,2022-1080
KX,QVLT,Qovoltis,03/07/2020,2022-1333
KZ,FRDI,Free dial,04/08/2020,2022-1369
L0,TEGL,Telvox global B.V.,12/08/2020,2022-1566
L1,EASY,GTT Communications France,20/03/2023,2023-0628
L2,LGSV,LPG services,27/04/2023,2023-0942
L3,SFRI,iBASIS France,16/10/2020,2022-1861
L4,GLST,Global server telecom BV,09/11/2020,2022-2259
L5,ZETE,ZE telecom,26/11/2020,2022-2172
L6,CLEO,Celeonet,27/11/2020,2022-2299
L7,ONOF,Onoff telecom,09/01/2023,2023-0007
L9,EONE,Eone trade,01/02/2021,2022-2712
LA,OPTC,Optico,23/02/2021,2023-0359
LB,OCCI,Occicom,15/03/2021,2023-0283
LC,OTHD,Orne THD,20/04/2023,2023-0880
LD,MUON,Muona,07/05/2021,2023-1028
LE,KAVE,Kav El International ,14/05/2021,2023-1191
LF,IPTB,IP telecom Bulgaria Ltd,07/06/2021,2023-1143
LG,WAAD,Waad universelle Europe,23/07/2021,2021-1512
LH,NREA,Enreach,19/07/2022,2022-1498
LI,ZOOM,Zoom voice communications Inc.,04/08/2022,2022-1605
LJ,AWSS,AMCS LLC,26/12/2022,2022-2674
LK,SPCV,Spacinov,17/11/2022,2022-2270
LL,CMTF,CM Telecom France,01/01/2023,2022-2709
LM,ONCN,Onecentral BV,23/01/2023,2023-0112
LN,ENEO,E-NEOLAB,30/01/2023,2023-0166
LO,HETE,Hexatel,30/01/2023,2023-0169
LQ,MASS,Masselin communication,02/02/2023,2023-0214
LR,CLTL,Cool telecom,08/02/2023,2023-0285
LS,YAAT,Yaatel,10/02/2023,2023-0326
LT,COVE,Sabio France,16/02/2023,2023-0375
LU,OPHO,Ophony,28/02/2023,2023-0474
LV,SCAN,Société coopérative d'aménagement numérique icaunaise,09/03/2023,2023-0536
LW,OVEA,OVEA,09/03/2023,2023-0540
LX,CLTE,Cloud telecom,19/04/2023,2023-0866
LY,DCID,Data consulting international,20/04/2023,2023-0889
LZ,DIME,NTT France,26/05/2023,2023-1145
ZZ,IPDI,IP Directions,23/05/2018,2018-0605
